Segment_A,Segment_B,Correct_Answer,Segment_A_Start_Ind,Segment_B_Start_Ind
“Listen up punk.” And right then there’s a blur in the,“Yes I would care to comment. Fuck you.” So I race,A,112,187
masked avenger. Though in fact he’d been capeless. And said that,he clicked his heels in rakish glee. And I gave him,A,345,361
which means “I am not an animal.” Which makes no sense.,be on the steps of Duane Library Tuesday at 3 o’clock”,A,387,465
punk.” And right then there’s a blur in the corner of,and he’s a big guy. I pitch him my story I,A,114,228
And we were wondering are you Pie Man?” And I knew,cape flowing behind him doing this. And that’s what made him,B,834,665
and I kind of liked it. So the first I did,and with such nuance that there was a question about whether,A,311,758
“Yes Angela. I am Pie Man.” And she said “Oh good.,I wasn’t Pie Man. As far as I knew I had,B,926,900
In fact I wasn’t Pie Man. As far as I knew,And toward the end of this run I was out at,B,898,704
architect of a policy to replace Fordham’s traditionally working- to middle-class,“Dear Jim good story. Nice details. If you want to see,A,42,450
And right then there’s a blur in the corner of my,and he reads and he says “Pie Man? I love it.,A,115,419
Jim Dwyer who’s a senior and he will go on to,by adding an element of embellishment. Reporters call this “making shit,A,210,275
Now buy me a beer and tell me all about it.”,please do not spread it outside this rumor. I myself would,B,937,559
which ran with a photo of him leaving the scene cape,Which makes no sense. I needed something. I’m Catholic Latin just,B,655,394
As far as I knew I had never seen the guy,she would have sex with me. And wasn’t I really Pie,B,904,858
I was out at a bar one night and I saw,and he says “Dean McGowan that guy’s a dick. Write it,B,711,244
capital “M.” And I described him as a cape-wearing masked avenger.,Sheila thought drinking in public was in poor taste. I think,A,336,602
I saw her there and made a mental note to do,and fled away crying “Ego sum non an bestia.” Or at,B,775,630
The Ram ran five major stories about Pie Man all of,and with such nuance that there was a question about whether,A,690,758
and then I say “Dean McGowan would you care to comment,Sheila had collaborated with the Dean to ban outdoor drinking on,A,168,577
And that’s what made him a sensation on campus. People started,And said that as he fled the scene he clicked his,B,671,353
People started dressing like him and quoting him in class. The,Or I had been flirting with her and with such nuance,A,680,751
are you Pie Man?” And I knew by the way she,So I was there with a photographer from the Ram. And,B,838,479
“Pie Man? I love it. Page one.” And that’s how the,And toward the end of this run I was out at,A,425,704
But I had just seen the line crossed between a high-powered,I’m Catholic Latin just comes to me. So I finish my,A,294,401
that guy’s a dick. Write it up.” So I’m banging out,Although rumor had it that he got plenty of her in,A,249,538
But that’s just a rumor please do not spread it outside,The infamous “no more beer at barbecues” rule. That’s right boo,A,554,589
So I finish my story and I hand it to Dwyer,cape flowing behind him doing this. And that’s what made him,A,408,665
more prestigious ones. So I whip out my notebook and I,Latin just comes to me. So I finish my story and,A,56,403
be on the steps of Duane Library Tuesday at 3 o’clock”,signed Pie Man. So I was there with a photographer from,A,465,476
Or at least that’s what it said in my story in,would you care to comment on this latest attack?” And the,B,639,174
